id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/802403	10.2307/802403	An Experiment with A, B, and C Intelligence Groups	Irma Davis, Jenny Lind Green	The English Journal	13	7	1924-09-01T00:00:00Z	pp. 457-462	National Council of Teachers of English	fla			
10.2307/802234	10.2307/802234	Reading with High-School Freshmen	Bertha Evans Ward	The English Journal	12	10	1923-12-01T00:00:00Z	pp. 672-679	National Council of Teachers of English	fla			
10.2307/802902	10.2307/802902	Ten Years of Co-operative Effort	William R. Davis	The English Journal	14	10	1925-12-01T00:00:00Z	pp. 784-789	National Council of Teachers of English	fla			
10.2307/801909	10.2307/801909	Dancing through English Literature	Milton M. Smith	The English Journal	9	6	1920-06-01T00:00:00Z	pp. 305-317	National Council of Teachers of English	fla			
10.2307/802697	10.2307/802697	A Rapid-Reading Course in American Literature	A. E. McNelly	The English Journal	14	4	1925-04-01T00:00:00Z	pp. 297-303	National Council of Teachers of English	fla			
10.2307/801973	10.2307/801973	The Browning Stock Company	Frances Theresa Russell	The English Journal	14	3	1925-03-01T00:00:00Z	pp. 175-182	National Council of Teachers of English	fla			
10.2307/802181	10.2307/802181	The Creative Instinct and Play-Making	Frederick H. Koch	The English Journal	9	5	1920-05-01T00:00:00Z	pp. 255-260	National Council of Teachers of English	fla			
10.2307/802844	10.2307/802844	Editorial: Turning the Tide. The Human Touch		The English Journal	10	8	1921-10-01T00:00:00Z	pp. 478-479	National Council of Teachers of English	fla			
10.2307/801885	10.2307/801885	The Study Club: Henry V as a Document	Dudley Miles	The English Journal	11	5	1922-05-01T00:00:00Z	pp. 300-302	National Council of Teachers of English	fla			
10.2307/802860	10.2307/802860	Junior High School Composition Books		The English Journal	11	3	1922-03-01T00:00:00Z	pp. 194-196	National Council of Teachers of English	brv	Junior High School English|R. L. Sandwick, Community English|Mildred Buchanan Flagg, Junior High School English|Thomas H. Briggs;Isabel McKinney;Florence H. Skeffington, Junior English Book|Alfred M. Hitchcock		
10.2307/802152	10.2307/802152	Projects in Literature	Marietta Hyde	The English Journal	9	7	1920-09-01T00:00:00Z	pp. 401-406	National Council of Teachers of English	fla			
10.2307/802660	10.2307/802660	Three Examples of Motivation	Mabel F. McKee	The English Journal	9	8	1920-10-01T00:00:00Z	pp. 457-462	National Council of Teachers of English	fla			
10.2307/802130	10.2307/802130	Book Notices		The English Journal	10	4	1921-04-01T00:00:00Z	pp. 238-239	National Council of Teachers of English	mis			
10.2307/802728	10.2307/802728	Differences in Ability Which Demand Changes in Subject-Matter and Method	Essie Chamberlain	The English Journal	13	9	1924-11-01T00:00:00Z	pp. 629-641	National Council of Teachers of English	fla			
10.2307/802799	10.2307/802799	A Great Home-Reading List		The English Journal	12	5	1923-05-01T00:00:00Z	pp. 356-357	National Council of Teachers of English	brv	Books for Home Reading|Herbert Bates		
10.2307/802589	10.2307/802589	Co-operation That Worked	Earl Hudelson	The English Journal	14	6	1925-06-01T00:00:00Z	pp. 452-460	National Council of Teachers of English	fla			
10.2307/802024	10.2307/802024	Editorial: A Basis for Co-operation		The English Journal	14	9	1925-11-01T00:00:00Z	pp. 725-726	National Council of Teachers of English	fla			
10.2307/802196	10.2307/802196	Two Limericks	Mary Meade Jones	The English Journal	12	2	1923-02-01T00:00:00Z	p. 97	National Council of Teachers of English	fla			
10.2307/802136	10.2307/802136	The Reorganization of Methods of Debate in High Schools	Thomas Warrington Gosling	The English Journal	9	4	1920-04-01T00:00:00Z	pp. 210-218	National Council of Teachers of English	fla			
10.2307/802082	10.2307/802082	Front Matter		The English Journal	11	4	1922-04-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802463	10.2307/802463	News and Notes		The English Journal	12	7	1923-09-01T00:00:00Z	pp. 493-503	National Council of Teachers of English	mis			
10.2307/802729	10.2307/802729	Training High-School Students to Visualize Descriptive Literature	Gladys Campbell	The English Journal	13	9	1924-11-01T00:00:00Z	pp. 642-648	National Council of Teachers of English	fla			
10.2307/801926	10.2307/801926	Present-Day Needs in the Training of English Teachers	Emma J. Breck	The English Journal	12	8	1923-10-01T00:00:00Z	pp. 545-556	National Council of Teachers of English	fla			
10.2307/802703	10.2307/802703	Social Pressure in Spoken English	Elizabeth W. Baker	The English Journal	14	4	1925-04-01T00:00:00Z	pp. 321-323	National Council of Teachers of English	fla			
10.2307/801917	10.2307/801917	News and Notes	W. Wilbur Hatfield, Helen L. Keever	The English Journal	9	6	1920-06-01T00:00:00Z	pp. 353-363	National Council of Teachers of English	mis			
10.2307/802259	10.2307/802259	Balanced Ration in Reading	Charles Robert Gaston	The English Journal	13	5	1924-05-01T00:00:00Z	pp. 344-345	National Council of Teachers of English	fla			
10.2307/802913	10.2307/802913	Volume Information		The English Journal	11	10	1922-12-01T00:00:00Z	pp. 662-666	National Council of Teachers of English	mis			
10.2307/802000	10.2307/802000	Symposium: Stimulating Pupils to Imagine Vividly as They Read	Walter Barnes, Anita P. Forbes, Julia Davenport Randall, Mable I. Rich	The English Journal	13	10	1924-12-01T00:00:00Z	pp. 733-737	National Council of Teachers of English	fla			
10.2307/802411	10.2307/802411	Editorial: A Costly Neglect. Oral Reading and Appreciation. Our Own Horn. Joseph Conrad		The English Journal	13	7	1924-09-01T00:00:00Z	pp. 499-501	National Council of Teachers of English	fla			
10.2307/802865	10.2307/802865	A Lesson from the Masters of Prose	R. W. Cowden	The English Journal	10	3	1921-03-01T00:00:00Z	pp. 130-141	National Council of Teachers of English	fla			
10.2307/802247	10.2307/802247	Book Notices		The English Journal	12	10	1923-12-01T00:00:00Z	pp. 713-716	National Council of Teachers of English	mis			
10.2307/802661	10.2307/802661	A Big Business-English Project	Mildred C. Struble	The English Journal	9	8	1920-10-01T00:00:00Z	pp. 463-466	National Council of Teachers of English	fla			
10.2307/802890	10.2307/802890	Recent Collections of Plays for Schools	Clarence Stratton	The English Journal	13	6	1924-06-01T00:00:00Z	pp. 438-440	National Council of Teachers of English	brv	Twelve Plays|Edwin Van B. Knickerbocker, Short Plays of Various Types|Milton M. Smith, Atlantic Book of Junior Plays|Charles Swain Thomas, One-Act Plays for Secondary Schools|James Plaisted Webber;Hanson Hart Webster		
10.2307/802148	10.2307/802148	Front Matter		The English Journal	9	7	1920-09-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802718	10.2307/802718	A Christmas Interlude		The English Journal	10	10	1921-12-01T00:00:00Z	pp. 581-585	National Council of Teachers of English	fla			
10.2307/802448	10.2307/802448	Editorial: Ten Years		The English Journal	9	2	1920-02-01T00:00:00Z	p. 114	National Council of Teachers of English	fla			
10.2307/802207	10.2307/802207	Two Collections of Essays	Conrad T. Logan	The English Journal	12	2	1923-02-01T00:00:00Z	pp. 147-148	National Council of Teachers of English	brv	Modern Essays and Stories|Frederick Hauk Law, Types of the Essay|Benjamin A. Heydrick		
10.2307/802621	10.2307/802621	Back Matter		The English Journal	12	4	1923-04-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802453	10.2307/802453	The Present Stage of the Short Story	Fred Lewis Pattee	The English Journal	12	7	1923-09-01T00:00:00Z	pp. 439-449	National Council of Teachers of English	fla			
10.2307/802266	10.2307/802266	Is There a Moral?		The English Journal	13	5	1924-05-01T00:00:00Z	p. 352	National Council of Teachers of English	fla			
10.2307/802619	10.2307/802619	English in Action	Walter Barnes	The English Journal	12	4	1923-04-01T00:00:00Z	pp. 289-291	National Council of Teachers of English	brv	English in Service|W. Wilbur Hatfield;A. Laura McGregor		
10.2307/802028	10.2307/802028	Book Notices		The English Journal	14	9	1925-11-01T00:00:00Z	pp. 738-744	National Council of Teachers of English	mis			
10.2307/801898	10.2307/801898	Literary Societies in a Small High School	Arthur Lee	The English Journal	13	1	1924-01-01T00:00:00Z	pp. 35-38	National Council of Teachers of English	fla			
10.2307/801933	10.2307/801933	News and Notes		The English Journal	12	8	1923-10-01T00:00:00Z	pp. 572-576	National Council of Teachers of English	mis			
10.2307/802712	10.2307/802712	Volume Information		The English Journal	10	10	1921-12-01T00:00:00Z	pp. 603-606	National Council of Teachers of English	mis			
10.2307/802338	10.2307/802338	Back Matter		The English Journal	14	5	1925-05-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802622	10.2307/802622	Front Matter		The English Journal	13	2	1924-02-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802810	10.2307/802810	Book Notices		The English Journal	12	1	1923-01-01T00:00:00Z	pp. 80-81	National Council of Teachers of English	mis			
10.2307/802853	10.2307/802853	Pupil Reactions to the Classics	Sarah T. Muir	The English Journal	11	3	1922-03-01T00:00:00Z	pp. 167-173	National Council of Teachers of English	fla			
10.2307/802434	10.2307/802434	Two Books of Basic Scholarship	Charles S. Pendleton	The English Journal	12	6	1923-06-01T00:00:00Z	pp. 432-433	National Council of Teachers of English	brv	Language: Its Nature, Development, and Origin|Otto Jespersen, Language|Edward Sapir		
10.2307/801901	10.2307/801901	Inspiring Pupils to Write Better Compositions	Margery J. Barry	The English Journal	13	1	1924-01-01T00:00:00Z	pp. 71-72	National Council of Teachers of English	fla			
10.2307/802530	10.2307/802530	Back Matter		The English Journal	10	6	1921-06-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802441	10.2307/802441	"Stunts" in Language	Louise Pound	The English Journal	9	2	1920-02-01T00:00:00Z	pp. 88-95	National Council of Teachers of English	fla			
10.2307/802556	10.2307/802556	A Unique Project in High-School Journalism	Vera E. Fawcett	The English Journal	13	4	1924-04-01T00:00:00Z	pp. 276-279	National Council of Teachers of English	fla			
10.2307/801967	10.2307/801967	Sound Advice	W. Wilbur Hatfield	The English Journal	12	3	1923-03-01T00:00:00Z	pp. 217-218	National Council of Teachers of English	brv	Essential Principles of Teaching Reading and Literature|Sterling Andrus Leonard		
10.2307/802412	10.2307/802412	News and Notes	Wendell P. Stafford	The English Journal	13	7	1924-09-01T00:00:00Z	pp. 502-519	National Council of Teachers of English	mis			
10.2307/801913	10.2307/801913	The Use of Committees in the English Class	Flora Snyder	The English Journal	9	6	1920-06-01T00:00:00Z	pp. 345-347	National Council of Teachers of English	fla			
10.2307/803003	10.2307/803003	What Matters in Speech?	Henrietta Prentiss	The English Journal	10	9	1921-11-01T00:00:00Z	pp. 489-496	National Council of Teachers of English	fla			
10.2307/802141	10.2307/802141	The Play Producer's Notebook	Eliza Thomas	The English Journal	9	4	1920-04-01T00:00:00Z	p. 231	National Council of Teachers of English	fla			
10.2307/801910	10.2307/801910	Unified Subject-Matter for Composition	Cornelia Carhart Ward	The English Journal	9	6	1920-06-01T00:00:00Z	pp. 318-330	National Council of Teachers of English	fla			
10.2307/802327	10.2307/802327	Seeing Things	Waitman Barbe	The English Journal	14	5	1925-05-01T00:00:00Z	pp. 389-394	National Council of Teachers of English	fla			
10.2307/801985	10.2307/801985	Editorial: A New Angle. Choosing Summer Courses	E. M. H.	The English Journal	14	3	1925-03-01T00:00:00Z	pp. 242-243	National Council of Teachers of English	fla			
10.2307/801923	10.2307/801923	How English Teachers Correct Papers	Sterling Andrus Leonard	The English Journal	12	8	1923-10-01T00:00:00Z	pp. 517-532	National Council of Teachers of English	fla			
10.2307/802549	10.2307/802549	Shades and Shadows	Eleanor F. Wells	The English Journal	13	4	1924-04-01T00:00:00Z	pp. 245-255	National Council of Teachers of English	fla			
10.2307/802023	10.2307/802023	Plays for High School	Clarence Stratton	The English Journal	14	9	1925-11-01T00:00:00Z	p. 724	National Council of Teachers of English	fla			
10.2307/802248	10.2307/802248	Back Matter		The English Journal	12	10	1923-12-01T00:00:00Z	p. 722	National Council of Teachers of English	mis			
10.2307/802007	10.2307/802007	1,581 Aims	W. Wilbur Hatfield	The English Journal	13	10	1924-12-01T00:00:00Z	pp. 753-754	National Council of Teachers of English	brv	The Social Objectives of School English|Charles S. Pendleton		
10.2307/802313	10.2307/802313	Orientation of the English Class	G. M. Butler	The English Journal	10	7	1921-09-01T00:00:00Z	pp. 401-402	National Council of Teachers of English	fla			
10.2307/801900	10.2307/801900	Thirteenth Annual Meeting, National Council of Teachers of English		The English Journal	13	1	1924-01-01T00:00:00Z	pp. 39-70	National Council of Teachers of English	mis			
10.2307/802092	10.2307/802092	The Pyramid of Khufu	Margaret B. Hill	The English Journal	11	4	1922-04-01T00:00:00Z	p. 247	National Council of Teachers of English	fla			
10.2307/802249	10.2307/802249	Front Matter		The English Journal	13	5	1924-05-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802763	10.2307/802763	News and Notes		The English Journal	11	7	1922-09-01T00:00:00Z	pp. 434-445	National Council of Teachers of English	mis			
10.2307/802022	10.2307/802022	Home Reading Reports--Letters	Eliza Hoskins	The English Journal	14	9	1925-11-01T00:00:00Z	pp. 723-724	National Council of Teachers of English	fla			
10.2307/802096	10.2307/802096	A Drillbook on Essentials	S. A. Leonard	The English Journal	11	4	1922-04-01T00:00:00Z	pp. 258-259	National Council of Teachers of English	brv	English Grammar Drills on Minimum Essentials		
10.2307/802203	10.2307/802203	A Matter of Usage	Herman O. Makey	The English Journal	12	2	1923-02-01T00:00:00Z	pp. 134-135	National Council of Teachers of English	fla			
10.2307/802159	10.2307/802159	News and Notes		The English Journal	9	7	1920-09-01T00:00:00Z	pp. 422-428	National Council of Teachers of English	mis			
10.2307/802058	10.2307/802058	A Different Hallowe'en Play	Geraldine P. Dilla	The English Journal	11	2	1922-02-01T00:00:00Z	pp. 108-110	National Council of Teachers of English	fla			
10.2307/802626	10.2307/802626	Careers in College Composition Classes	Calvin T. Ryan	The English Journal	13	2	1924-02-01T00:00:00Z	pp. 120-124	National Council of Teachers of English	fla			
10.2307/801971	10.2307/801971	Back Matter		The English Journal	12	3	1923-03-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/801924	10.2307/801924	Problems in the Teaching of Poetry	Christabel F. Fiske	The English Journal	12	8	1923-10-01T00:00:00Z	pp. 533-544	National Council of Teachers of English	fla			
10.2307/802230	10.2307/802230	Volume Information		The English Journal	12	10	1923-12-01T00:00:00Z	pp. 717-721	National Council of Teachers of English	mis			
10.2307/802747	10.2307/802747	Teaching the Foreign-Born	Ida G. Ale	The English Journal	9	1	1920-01-01T00:00:00Z	pp. 13-19	National Council of Teachers of English	fla			
10.2307/802567	10.2307/802567	A Descendant of Jurgen	Cleland Harris	The English Journal	13	4	1924-04-01T00:00:00Z	p. 296	National Council of Teachers of English	brv	The High Place|James Branch Cabell		
10.2307/802286	10.2307/802286	News and Notes	Charles H. Whitman	The English Journal	9	10	1920-12-01T00:00:00Z	pp. 601-606	National Council of Teachers of English	mis			
10.2307/801938	10.2307/801938	English Composition as a Mode of Behavior	F. N. Scott	The English Journal	11	8	1922-10-01T00:00:00Z	pp. 463-473	National Council of Teachers of English	fla			
10.2307/802332	10.2307/802332	New Phrasing for Old Rule	Selina Sharpe	The English Journal	14	5	1925-05-01T00:00:00Z	p. 413	National Council of Teachers of English	fla			
10.2307/802155	10.2307/802155	In Regard to English Clubs	Miriam Smyth	The English Journal	9	7	1920-09-01T00:00:00Z	pp. 414-417	National Council of Teachers of English	fla			
10.2307/802438	10.2307/802438	English and the Discipline of Ideas	Irving Babbitt	The English Journal	9	2	1920-02-01T00:00:00Z	pp. 61-70	National Council of Teachers of English	fla			
10.2307/802156	10.2307/802156	The Examiner's Catechism	C. C. Certain	The English Journal	9	7	1920-09-01T00:00:00Z	pp. 417-419	National Council of Teachers of English	fla			
10.2307/801887	10.2307/801887	News and Notes	A. B. De Mille, Minna G. Boomer, Sarah T. Muir	The English Journal	11	5	1922-05-01T00:00:00Z	pp. 305-316	National Council of Teachers of English	mis			
10.2307/802039	10.2307/802039	Books for Boys: A Suggestive List	A. B. DeMille	The English Journal	12	9	1923-11-01T00:00:00Z	pp. 625-629	National Council of Teachers of English	fla			
10.2307/802004	10.2307/802004	Magi	Helene Gavin	The English Journal	13	10	1924-12-01T00:00:00Z	p. 745	National Council of Teachers of English	fla			
10.2307/802151	10.2307/802151	Concerning Organization in Paragraphs	Herbert Winslow Smith	The English Journal	9	7	1920-09-01T00:00:00Z	pp. 390-400	National Council of Teachers of English	fla			
10.2307/802138	10.2307/802138	English Lessons for Naval Recruits	Lelia Bascom	The English Journal	9	4	1920-04-01T00:00:00Z	pp. 224-226	National Council of Teachers of English	fla			
10.2307/801895	10.2307/801895	"Selling" English Literature to Non-Literary Students	John J. Parry	The English Journal	13	1	1924-01-01T00:00:00Z	pp. 10-22	National Council of Teachers of English	fla			
10.2307/802921	10.2307/802921	Letter concerning College Entrance Requirements	William C. Hill	The English Journal	11	10	1922-12-01T00:00:00Z	pp. 644-645	National Council of Teachers of English	fla			
10.2307/802084	10.2307/802084	Standardization in English	John L. Haney	The English Journal	11	4	1922-04-01T00:00:00Z	pp. 214-221	National Council of Teachers of English	fla			
10.2307/802965	10.2307/802965	The Worm Will Turn!	Frederick H. Law	The English Journal	10	2	1921-02-01T00:00:00Z	pp. 95-97	National Council of Teachers of English	fla			
10.2307/802045	10.2307/802045	News and Notes	Glenn N. Merry	The English Journal	12	9	1923-11-01T00:00:00Z	pp. 636-644	National Council of Teachers of English	mis			
10.2307/802243	10.2307/802243	The Prize Composition Projects	Eva McKinley West, Olga Achtenhagen, Edith Adams, Leslie B. Cook, Josephine Sutherland	The English Journal	12	10	1923-12-01T00:00:00Z	pp. 702-705	National Council of Teachers of English	fla			
10.2307/802281	10.2307/802281	An Experiment with Home-Made Plays	Frank G. Tompkins	The English Journal	9	10	1920-12-01T00:00:00Z	pp. 591-593	National Council of Teachers of English	fla			
10.2307/802757	10.2307/802757	The Variability of Teachers' Marks	Nathan Silberstein	The English Journal	11	7	1922-09-01T00:00:00Z	pp. 414-424	National Council of Teachers of English	fla			
10.2307/802452	10.2307/802452	Front Matter		The English Journal	12	7	1923-09-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802324	10.2307/802324	Introductory Course in Literature	O. J. Campbell	The English Journal	14	5	1925-05-01T00:00:00Z	pp. 369-376	National Council of Teachers of English	fla			
10.2307/802837	10.2307/802837	In Behalf of Standardized Reading	Edith R. Mirrielees	The English Journal	10	8	1921-10-01T00:00:00Z	pp. 461-464	National Council of Teachers of English	fla			
10.2307/802143	10.2307/802143	Editorial: A Word in Season		The English Journal	9	4	1920-04-01T00:00:00Z	p. 232	National Council of Teachers of English	fla			
10.2307/802670	10.2307/802670	Front Matter		The English Journal	11	1	1922-01-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802521	10.2307/802521	Boys and Literature	W. H. Blake	The English Journal	10	6	1921-06-01T00:00:00Z	pp. 332-336	National Council of Teachers of English	fla			
10.2307/802833	10.2307/802833	The Possibilities of Classroom Experiment	Essie Chamberlain	The English Journal	10	8	1921-10-01T00:00:00Z	pp. 427-438	National Council of Teachers of English	fla			
10.2307/802849	10.2307/802849	Correlation between High-School and College English	George R. Coffman	The English Journal	11	3	1922-03-01T00:00:00Z	pp. 129-139	National Council of Teachers of English	fla			
10.2307/802808	10.2307/802808	The National Council at Chattanooga		The English Journal	12	1	1923-01-01T00:00:00Z	pp. 39-71	National Council of Teachers of English	mis			
10.2307/802202	10.2307/802202	To the Showy Lady's Slipper	Louise Hunter	The English Journal	12	2	1923-02-01T00:00:00Z	p. 134	National Council of Teachers of English	fla			
10.2307/802915	10.2307/802915	The Project Method in Composition. I	W. Wilbur Hatfield	The English Journal	11	10	1922-12-01T00:00:00Z	pp. 599-609	National Council of Teachers of English	fla			
10.2307/802120	10.2307/802120	A Truly Democratic School Paper	Margaret M. Sleezer	The English Journal	10	4	1921-04-01T00:00:00Z	pp. 193-200	National Council of Teachers of English	fla			
10.2307/802161	10.2307/802161	Back Matter		The English Journal	9	7	1920-09-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802996	10.2307/802996	Editorial: Silent Reading		The English Journal	10	5	1921-05-01T00:00:00Z	p. 289	National Council of Teachers of English	fla			
10.2307/801918	10.2307/801918	A Good Book Improved	Stanley S. Swartley	The English Journal	9	6	1920-06-01T00:00:00Z	pp. 364-365	National Council of Teachers of English	brv	Handbook of Composition|Edwin C. Woolley		
10.2307/803011	10.2307/803011	The Play Spirit in Teaching	Mary Meek Atkeson	The English Journal	10	9	1921-11-01T00:00:00Z	pp. 534-535	National Council of Teachers of English	fla			
10.2307/802374	10.2307/802374	Trial by Jury: A Project in Oral Composition	Mary Sylvester Cline	The English Journal	14	2	1925-02-01T00:00:00Z	p. 147	National Council of Teachers of English	fla			
10.2307/801912	10.2307/801912	A Standard of Measurement in English Composition	Roger Conant Hatch	The English Journal	9	6	1920-06-01T00:00:00Z	pp. 338-344	National Council of Teachers of English	fla			
10.2307/802085	10.2307/802085	Applied English Composition	Clyde William Park	The English Journal	11	4	1922-04-01T00:00:00Z	pp. 222-227	National Council of Teachers of English	fla			
10.2307/801896	10.2307/801896	Phonetics and Syntax	Charles Lee Lewis	The English Journal	13	1	1924-01-01T00:00:00Z	pp. 22-28	National Council of Teachers of English	fla			
10.2307/802606	10.2307/802606	Aims and Standards in Public Speaking Work	James A. Winans	The English Journal	12	4	1923-04-01T00:00:00Z	pp. 223-234	National Council of Teachers of English	fla			
10.2307/802245	10.2307/802245	News and Notes		The English Journal	12	10	1923-12-01T00:00:00Z	pp. 706-710	National Council of Teachers of English	mis			
10.2307/802559	10.2307/802559	An Examination in English Grammar	E. B. Richards	The English Journal	13	4	1924-04-01T00:00:00Z	pp. 283-284	National Council of Teachers of English	fla			
10.2307/802241	10.2307/802241	To an Unknown Soldier	Barbara Bayliss	The English Journal	12	10	1923-12-01T00:00:00Z	p. 698	National Council of Teachers of English	fla			
10.2307/802641	10.2307/802641	Front Matter		The English Journal	9	3	1920-03-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802126	10.2307/802126	Editorial: By Bread Alone. Speaking for Ourselves. Tag Your Property		The English Journal	10	4	1921-04-01T00:00:00Z	pp. 226-227	National Council of Teachers of English	fla			
10.2307/803007	10.2307/803007	Eighth-Grade Composition by Project	Emma Glaser	The English Journal	10	9	1921-11-01T00:00:00Z	pp. 520-525	National Council of Teachers of English	fla			
10.2307/802631	10.2307/802631	The Project of a Journey		The English Journal	13	2	1924-02-01T00:00:00Z	pp. 133-134	National Council of Teachers of English	fla			
10.2307/801936	10.2307/801936	Front Matter		The English Journal	11	8	1922-10-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802376	10.2307/802376	A Question of Fair Play	Pearl Hogrefe	The English Journal	14	2	1925-02-01T00:00:00Z	pp. 151-155	National Council of Teachers of English	fla			
10.2307/802417	10.2307/802417	Back Matter		The English Journal	13	7	1924-09-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802671	10.2307/802671	Preparation for Teaching Literature	Lincoln R. Gibbs	The English Journal	11	1	1922-01-01T00:00:00Z	pp. 1-7	National Council of Teachers of English	fla			
10.2307/802982	10.2307/802982	News and Notes		The English Journal	9	9	1920-11-01T00:00:00Z	pp. 543-548	National Council of Teachers of English	mis			
10.2307/802301	10.2307/802301	News and Notes		The English Journal	13	8	1924-10-01T00:00:00Z	pp. 600-608	National Council of Teachers of English	mis			
10.2307/801941	10.2307/801941	A True-False Test in English Literature	Arthur Gordon Melvin	The English Journal	11	8	1922-10-01T00:00:00Z	pp. 491-496	National Council of Teachers of English	fla			
10.2307/802263	10.2307/802263	A Scheme for Reviewing Grammar	Grace Goble	The English Journal	13	5	1924-05-01T00:00:00Z	p. 348	National Council of Teachers of English	fla			
10.2307/802147	10.2307/802147	Back Matter		The English Journal	9	4	1920-04-01T00:00:00Z	p. 244	National Council of Teachers of English	mis			
10.2307/802544	10.2307/802544	English for Italians	Clark S. Northup	The English Journal	11	6	1922-06-01T00:00:00Z	p. 380	National Council of Teachers of English	brv	Graded Lessons in English for Italians|Angelo Di Domenica		
10.2307/802809	10.2307/802809	News and Notes	Glenn N. Merry, Vermonta Wilson	The English Journal	12	1	1923-01-01T00:00:00Z	pp. 72-78	National Council of Teachers of English	mis			
10.2307/802206	10.2307/802206	News and Notes	Edith Erskine, Claudia E. Crumpton	The English Journal	12	2	1923-02-01T00:00:00Z	pp. 139-146	National Council of Teachers of English	mis			
10.2307/802348	10.2307/802348	Fundamentals in English	E. Dudley Parsons	The English Journal	14	8	1925-10-01T00:00:00Z	pp. 641-643	National Council of Teachers of English	fla			
10.2307/802478	10.2307/802478	News and Notes	L. J. T.	The English Journal	14	1	1925-01-01T00:00:00Z	pp. 79-83	National Council of Teachers of English	mis			
10.2307/802118	10.2307/802118	What Should Be Expected of the Teacher of English?	Louise Pound	The English Journal	10	4	1921-04-01T00:00:00Z	pp. 179-186	National Council of Teachers of English	fla			
10.2307/802967	10.2307/802967	Editorial: Defend the Gate. On Improving Our Teaching of English	H. G. Paul	The English Journal	10	2	1921-02-01T00:00:00Z	pp. 98-101	National Council of Teachers of English	fla			
10.2307/802927	10.2307/802927	Back Matter		The English Journal	11	10	1922-12-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802131	10.2307/802131	Back Matter		The English Journal	10	4	1921-04-01T00:00:00Z	p. 240	National Council of Teachers of English	mis			
10.2307/802305	10.2307/802305	Back Matter		The English Journal	13	8	1924-10-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/803019	10.2307/803019	Back Matter		The English Journal	10	9	1921-11-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/803017	10.2307/803017	News and Notes		The English Journal	10	9	1921-11-01T00:00:00Z	pp. 542-546	National Council of Teachers of English	mis			
10.2307/802899	10.2307/802899	Building a Scale of Purely Composition Quality	S. A. Leonard	The English Journal	14	10	1925-12-01T00:00:00Z	pp. 760-775	National Council of Teachers of English	fla			
10.2307/802700	10.2307/802700	Freshman Sentences	William H. Powers	The English Journal	14	4	1925-04-01T00:00:00Z	p. 316	National Council of Teachers of English	fla			
10.2307/801984	10.2307/801984	Casting Pearls		The English Journal	14	3	1925-03-01T00:00:00Z	pp. 239-241	National Council of Teachers of English	fla			
10.2307/802066	10.2307/802066	Book Notices		The English Journal	11	2	1922-02-01T00:00:00Z	pp. 127-128	National Council of Teachers of English	mis			
10.2307/802542	10.2307/802542	News and Notes	Charles H. Whitman, John M. Avent, Irene B. Hunt	The English Journal	11	6	1922-06-01T00:00:00Z	pp. 371-378	National Council of Teachers of English	mis			
10.2307/802316	10.2307/802316	News and Notes	Claudia E. Crumpton	The English Journal	10	7	1921-09-01T00:00:00Z	pp. 407-422	National Council of Teachers of English	mis			
10.2307/802707	10.2307/802707	The Silver Trumpet: A Fable	Charles Ballard	The English Journal	14	4	1925-04-01T00:00:00Z	p. 328	National Council of Teachers of English	fla			
10.2307/802972	10.2307/802972	Front Matter		The English Journal	9	9	1920-11-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802752	10.2307/802752	Back Matter		The English Journal	9	1	1920-01-01T00:00:00Z	p. 60	National Council of Teachers of English	mis			
10.2307/802015	10.2307/802015	International Good Will through the Teaching of English	E. Estelle Downing	The English Journal	14	9	1925-11-01T00:00:00Z	pp. 675-685	National Council of Teachers of English	fla			
10.2307/802404	10.2307/802404	Recent Literature in the High-School Classroom	H. B. Lathrop	The English Journal	13	7	1924-09-01T00:00:00Z	pp. 463-477	National Council of Teachers of English	fla			
10.2307/802457	10.2307/802457	Why Not Include Standard Tests in Your Teaching Program This Term?	C. C. Certain	The English Journal	12	7	1923-09-01T00:00:00Z	pp. 463-480	National Council of Teachers of English	fla			
10.2307/802558	10.2307/802558	A Pedagogical Dream	Edgar B. Wesley	The English Journal	13	4	1924-04-01T00:00:00Z	pp. 281-283	National Council of Teachers of English	fla			
10.2307/802280	10.2307/802280	Engineering English	P. B. McDonald	The English Journal	9	10	1920-12-01T00:00:00Z	pp. 588-590	National Council of Teachers of English	fla			
